time	V(in)	V(out)
Step Information: Index=3  (Run: 3/5)
2.242399999999982e-004	3.300000e+000	2.599858e+000
2.252399999999981e-004	3.300000e+000	2.602938e+000
2.262399999999980e-004	3.300000e+000	2.605460e+000
2.272399999999979e-004	3.300000e+000	2.607525e+000
2.282399999999978e-004	3.300000e+000	2.609215e+000
2.292399999999977e-004	3.300000e+000	2.610600e+000
2.302399999999977e-004	3.300000e+000	2.611733e+000
2.312399999999976e-004	3.300000e+000	2.612661e+000
2.322399999999975e-004	3.300000e+000	2.613421e+000
2.332399999999974e-004	3.300000e+000	2.614043e+000
2.342399999999973e-004	3.300000e+000	2.614553e+000
2.352399999999972e-004	3.300000e+000	2.614970e+000
2.362399999999972e-004	3.300000e+000	2.615312e+000
2.372399999999971e-004	3.300000e+000	2.615592e+000
2.382399999999970e-004	3.300000e+000	2.615820e+000
2.392399999999969e-004	3.300000e+000	2.616008e+000
2.402399999999968e-004	3.300000e+000	2.616161e+000
2.412399999999967e-004	3.300000e+000	2.616287e+000
2.422399999999967e-004	3.300000e+000	2.616390e+000
2.432399999999966e-004	3.300000e+000	2.616474e+000
2.442399999999965e-004	3.300000e+000	2.616543e+000
2.452399999999964e-004	3.300000e+000	2.616600e+000
2.462399999999963e-004	3.300000e+000	2.616646e+000
2.472399999999962e-004	3.300000e+000	2.616684e+000
2.492399999999961e-004	3.300000e+000	2.616740e+000
2.512399999999959e-004	3.300000e+000	2.616778e+000
2.542399999999956e-004	3.300000e+000	2.616813e+000
2.582399999999953e-004	3.300000e+000	2.616836e+000
2.662399999999946e-004	3.300000e+000	2.616851e+000
3.010000000000001e-004	3.300000e+000	2.616855e+000
3.011000000000001e-004	2.970000e+000	2.611843e+000
3.013000000000000e-004	2.310000e+000	2.592719e+000
3.016000000000000e-004	1.320000e+000	2.538525e+000
3.020000000000002e-004	0.000000e+000	2.435344e+000
3.022800000000000e-004	0.000000e+000	2.341138e+000
3.026000000000001e-004	0.000000e+000	2.240976e+000
3.032400000000002e-004	0.000000e+000	2.059962e+000
3.042400000000001e-004	0.000000e+000	1.814793e+000
3.052400000000000e-004	0.000000e+000	1.609731e+000
3.062399999999999e-004	0.000000e+000	1.441827e+000
3.072399999999999e-004	0.000000e+000	1.304349e+000
3.082399999999998e-004	0.000000e+000	1.191783e+000
3.092399999999997e-004	0.000000e+000	1.099614e+000
3.102399999999996e-004	0.000000e+000	1.024147e+000
3.112399999999995e-004	0.000000e+000	9.623555e-001
3.122399999999994e-004	0.000000e+000	9.117607e-001
3.132399999999994e-004	0.000000e+000	8.703340e-001
3.142399999999993e-004	0.000000e+000	8.364141e-001
3.152399999999992e-004	0.000000e+000	8.086407e-001
3.162399999999991e-004	0.000000e+000	7.859001e-001
3.172399999999990e-004	0.000000e+000	7.672802e-001
3.182399999999989e-004	0.000000e+000	7.520343e-001
3.192399999999989e-004	0.000000e+000	7.395511e-001
3.202399999999988e-004	0.000000e+000	7.293299e-001
3.212399999999987e-004	0.000000e+000	7.209610e-001
3.222399999999986e-004	0.000000e+000	7.141085e-001
3.232399999999985e-004	0.000000e+000	7.084976e-001
3.242399999999984e-004	0.000000e+000	7.039036e-001
3.252399999999983e-004	0.000000e+000	7.001420e-001
3.262399999999983e-004	0.000000e+000	6.970620e-001
3.272399999999982e-004	0.000000e+000	6.945401e-001
3.282399999999981e-004	0.000000e+000	6.924753e-001
3.292399999999980e-004	0.000000e+000	6.907845e-001
3.302399999999979e-004	0.000000e+000	6.894002e-001
3.312399999999978e-004	0.000000e+000	6.882667e-001
3.322399999999978e-004	0.000000e+000	6.873386e-001
3.332399999999977e-004	0.000000e+000	6.865787e-001
3.342399999999976e-004	0.000000e+000	6.859565e-001
3.352399999999975e-004	0.000000e+000	6.854470e-001
3.362399999999974e-004	0.000000e+000	6.850299e-001
3.372399999999973e-004	0.000000e+000	6.846883e-001
3.382399999999973e-004	0.000000e+000	6.844087e-001
3.392399999999972e-004	0.000000e+000	6.841797e-001
3.402399999999971e-004	0.000000e+000	6.839921e-001
3.412399999999970e-004	0.000000e+000	6.838386e-001
3.422399999999969e-004	0.000000e+000	6.837130e-001
3.432399999999968e-004	0.000000e+000	6.836100e-001
3.442399999999967e-004	0.000000e+000	6.835257e-001
3.452399999999967e-004	0.000000e+000	6.834567e-001
3.462399999999966e-004	0.000000e+000	6.834003e-001
3.472399999999965e-004	0.000000e+000	6.833540e-001
3.482399999999964e-004	0.000000e+000	6.833161e-001
3.502399999999962e-004	0.000000e+000	6.832597e-001
3.522399999999961e-004	0.000000e+000	6.832219e-001
3.552399999999958e-004	0.000000e+000	6.831872e-001
3.592399999999955e-004	0.000000e+000	6.831639e-001
3.672399999999948e-004	0.000000e+000	6.831488e-001
4.000000000000002e-004	7.155734e-013	6.831449e-001
4.001000000000002e-004	3.300000e-001	6.881574e-001
4.003000000000001e-004	9.900000e-001	7.072814e-001
