time	V(out)	I(R1)
Step Information: Index=2  (Run: 2/5)
6.212399999999984e-004	6.322747e-001	4.354506e-005
6.222399999999983e-004	6.351776e-001	4.296448e-005
6.232399999999982e-004	6.375171e-001	4.249657e-005
6.242399999999981e-004	6.394026e-001	4.211947e-005
6.252399999999981e-004	6.409222e-001	4.181555e-005
6.262399999999980e-004	6.421469e-001	4.157062e-005
6.272399999999979e-004	6.431339e-001	4.137322e-005
6.282399999999978e-004	6.439294e-001	4.121412e-005
6.292399999999977e-004	6.445705e-001	4.108591e-005
6.302399999999976e-004	6.450871e-001	4.098257e-005
6.312399999999975e-004	6.455036e-001	4.089929e-005
6.322399999999975e-004	6.458392e-001	4.083217e-005
6.332399999999974e-004	6.461096e-001	4.077808e-005
6.342399999999973e-004	6.463276e-001	4.073448e-005
6.352399999999972e-004	6.465033e-001	4.069935e-005
6.362399999999971e-004	6.466448e-001	4.067103e-005
6.372399999999970e-004	6.467590e-001	4.064821e-005
6.382399999999970e-004	6.468509e-001	4.062982e-005
6.392399999999969e-004	6.469250e-001	4.061499e-005
6.402399999999968e-004	6.469848e-001	4.060304e-005
6.412399999999967e-004	6.470329e-001	4.059342e-005
6.432399999999965e-004	6.471030e-001	4.057941e-005
6.452399999999964e-004	6.471485e-001	4.057030e-005
6.482399999999961e-004	6.471887e-001	4.056227e-005
6.532399999999957e-004	6.472178e-001	4.055644e-005
6.642399999999948e-004	6.472315e-001	4.055371e-005
7.010000000000000e-004	6.472328e-001	4.055343e-005
7.011000000000001e-004	6.436205e-001	7.275897e-006
7.013000000000000e-004	6.298552e-001	-5.797103e-005
7.015999999999999e-004	5.909179e-001	-1.521836e-004
7.020000000000002e-004	5.168723e-001	-2.733745e-004
7.022800000000000e-004	4.495583e-001	-2.599117e-004
7.026000000000001e-004	3.783839e-001	-2.456768e-004
7.032400000000002e-004	2.507342e-001	-2.201468e-004
7.042400000000001e-004	7.971317e-002	-1.859426e-004
7.052400000000000e-004	-6.136353e-002	-1.577273e-004
7.062399999999999e-004	-1.750618e-001	-1.349876e-004
7.072399999999998e-004	-2.666949e-001	-1.166610e-004
7.082399999999997e-004	-3.405450e-001	-1.018910e-004
7.092399999999997e-004	-4.000632e-001	-8.998736e-005
7.102399999999996e-004	-4.480308e-001	-8.039384e-005
7.112399999999995e-004	-4.866895e-001	-7.266211e-005
7.122399999999994e-004	-5.178457e-001	-6.643085e-005
7.132399999999993e-004	-5.429556e-001	-6.140888e-005
7.142399999999992e-004	-5.631924e-001	-5.736151e-005
7.152399999999992e-004	-5.795020e-001	-5.409961e-005
7.162399999999991e-004	-5.926464e-001	-5.147074e-005
7.172399999999990e-004	-6.032398e-001	-4.935204e-005
7.182399999999989e-004	-6.117774e-001	-4.764452e-005
7.192399999999988e-004	-6.186582e-001	-4.626837e-005
7.202399999999987e-004	-6.242036e-001	-4.515928e-005
7.212399999999986e-004	-6.286728e-001	-4.426544e-005
7.222399999999986e-004	-6.322747e-001	-4.354506e-005
7.232399999999985e-004	-6.351776e-001	-4.296448e-005
7.242399999999984e-004	-6.375171e-001	-4.249657e-005
7.252399999999983e-004	-6.394026e-001	-4.211947e-005
7.262399999999982e-004	-6.409222e-001	-4.181555e-005
7.272399999999981e-004	-6.421469e-001	-4.157062e-005
7.282399999999981e-004	-6.431339e-001	-4.137322e-005
7.292399999999980e-004	-6.439294e-001	-4.121412e-005
7.302399999999979e-004	-6.445705e-001	-4.108591e-005
7.312399999999978e-004	-6.450871e-001	-4.098257e-005
7.322399999999977e-004	-6.455036e-001	-4.089929e-005
7.332399999999976e-004	-6.458392e-001	-4.083217e-005
7.342399999999976e-004	-6.461096e-001	-4.077808e-005
7.352399999999975e-004	-6.463276e-001	-4.073448e-005
7.362399999999974e-004	-6.465033e-001	-4.069935e-005
7.372399999999973e-004	-6.466448e-001	-4.067103e-005
7.382399999999972e-004	-6.467590e-001	-4.064821e-005
7.392399999999971e-004	-6.468509e-001	-4.062982e-005
7.402399999999971e-004	-6.469250e-001	-4.061499e-005
7.412399999999970e-004	-6.469848e-001	-4.060304e-005
7.422399999999969e-004	-6.470329e-001	-4.059342e-005
